task_id,prefix_index,causal_group_id,pair_index,scheduled_order,actual_start_order_all_attempts,canonical_terminal_order,full_attempt_id,remove_attempt_id,full_success_count,remove_success_count,frozen_total_cases,full_utility,remove_utility,d_full_minus_remove,recovery_used,full_terminal_state,remove_terminal_state,full_verifier_stdout,remove_verifier_stdout,full_trajectory,remove_trajectory,pair_attestation
theme_d11_w2_scientific_numerical_brownfield_modification,1,theme_d11_w2_scientific_numerical_brownfield_modification:target-round-4,1,FULL_FIRST,FULL > REMOVE,FULL > REMOVE,fresh-n9-phase3-1-pair_1_full-try-1,fresh-n9-phase3-1-pair_1_remove-try-1,37,37,62,0.596774193548,0.596774193548,0,false,SCIENTIFIC_FAILURE,SCIENTIFIC_FAILURE,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_1_full-try-1\evo-fresh-n9-n1-full__Saieb3N\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_1_remove-try-1\evo-fresh-n9-n1-remove__Maus45g\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_1_full-try-1\evo-fresh-n9-n1-full__Saieb3N\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_1_remove-try-1\evo-fresh-n9-n1-remove__Maus45g\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\attempt-integrity-attestations\theme_d11_w2_scientific_numerical_brownfield_modification-pair-1.json
theme_d11_w2_scientific_numerical_brownfield_modification,1,theme_d11_w2_scientific_numerical_brownfield_modification:target-round-4,2,REMOVE_FIRST,REMOVE > FULL,REMOVE > FULL,fresh-n9-phase3-1-pair_2_full-try-1,fresh-n9-phase3-1-pair_2_remove-try-1,37,37,62,0.596774193548,0.596774193548,0,false,SCIENTIFIC_FAILURE,SCIENTIFIC_FAILURE,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_2_full-try-1\evo-fresh-n9-n1-full__UvsFXu9\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_2_remove-try-1\evo-fresh-n9-n1-remove__z6i7sNP\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_2_full-try-1\evo-fresh-n9-n1-full__UvsFXu9\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_2_remove-try-1\evo-fresh-n9-n1-remove__z6i7sNP\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\attempt-integrity-attestations\theme_d11_w2_scientific_numerical_brownfield_modification-pair-2.json
theme_d11_w2_scientific_numerical_brownfield_modification,1,theme_d11_w2_scientific_numerical_brownfield_modification:target-round-4,3,FULL_FIRST,FULL > REMOVE,FULL > REMOVE,fresh-n9-phase3-1-pair_3_full-try-1,fresh-n9-phase3-1-pair_3_remove-try-1,37,37,62,0.596774193548,0.596774193548,0,false,SCIENTIFIC_FAILURE,SCIENTIFIC_FAILURE,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_3_full-try-1\evo-fresh-n9-n1-full__dVKMSzP\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_3_remove-try-1\evo-fresh-n9-n1-remove__Eb8w6yD\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_3_full-try-1\evo-fresh-n9-n1-full__dVKMSzP\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_3_remove-try-1\evo-fresh-n9-n1-remove__Eb8w6yD\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\attempt-integrity-attestations\theme_d11_w2_scientific_numerical_brownfield_modification-pair-3.json
theme_d11_w2_scientific_numerical_brownfield_modification,1,theme_d11_w2_scientific_numerical_brownfield_modification:target-round-4,4,REMOVE_FIRST,REMOVE > FULL,REMOVE > FULL,fresh-n9-phase3-1-pair_4_full-try-1,fresh-n9-phase3-1-pair_4_remove-try-1,37,37,62,0.596774193548,0.596774193548,0,false,SCIENTIFIC_FAILURE,SCIENTIFIC_FAILURE,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_4_full-try-1\evo-fresh-n9-n1-full__RKtSFJ8\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_4_remove-try-1\evo-fresh-n9-n1-remove__7bsLXJG\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_4_full-try-1\evo-fresh-n9-n1-full__RKtSFJ8\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-1-pair_4_remove-try-1\evo-fresh-n9-n1-remove__7bsLXJG\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\attempt-integrity-attestations\theme_d11_w2_scientific_numerical_brownfield_modification-pair-4.json
theme_d10_w4_ml_ai_mlops_migration_upgrade,2,theme_d10_w4_ml_ai_mlops_migration_upgrade:target-round-6,1,REMOVE_FIRST,REMOVE > FULL,REMOVE > FULL,fresh-n9-phase3-2-pair_1_full-try-1,fresh-n9-phase3-2-pair_1_remove-try-1,50,50,160,0.3125,0.3125,0,false,SCIENTIFIC_FAILURE,SCIENTIFIC_FAILURE,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_1_full-try-1\evo-fresh-n9-n2-full__oxVBZ4v\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_1_remove-try-1\evo-fresh-n9-n2-remove__CiS7qL5\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_1_full-try-1\evo-fresh-n9-n2-full__oxVBZ4v\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_1_remove-try-1\evo-fresh-n9-n2-remove__CiS7qL5\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\attempt-integrity-attestations\theme_d10_w4_ml_ai_mlops_migration_upgrade-pair-1.json
theme_d10_w4_ml_ai_mlops_migration_upgrade,2,theme_d10_w4_ml_ai_mlops_migration_upgrade:target-round-6,2,FULL_FIRST,FULL > REMOVE,FULL > REMOVE,fresh-n9-phase3-2-pair_2_full-try-1,fresh-n9-phase3-2-pair_2_remove-try-1,50,50,160,0.3125,0.3125,0,false,SCIENTIFIC_FAILURE,SCIENTIFIC_FAILURE,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_2_full-try-1\evo-fresh-n9-n2-full__4RSnjYt\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_2_remove-try-1\evo-fresh-n9-n2-remove__tNGpuxU\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_2_full-try-1\evo-fresh-n9-n2-full__4RSnjYt\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_2_remove-try-1\evo-fresh-n9-n2-remove__tNGpuxU\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\attempt-integrity-attestations\theme_d10_w4_ml_ai_mlops_migration_upgrade-pair-2.json
theme_d10_w4_ml_ai_mlops_migration_upgrade,2,theme_d10_w4_ml_ai_mlops_migration_upgrade:target-round-6,3,REMOVE_FIRST,REMOVE > FULL,REMOVE > FULL,fresh-n9-phase3-2-pair_3_full-try-1,fresh-n9-phase3-2-pair_3_remove-try-1,50,50,160,0.3125,0.3125,0,false,SCIENTIFIC_FAILURE,SCIENTIFIC_FAILURE,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_3_full-try-1\evo-fresh-n9-n2-full__NPAoN9d\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_3_remove-try-1\evo-fresh-n9-n2-remove__wSjd9CW\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_3_full-try-1\evo-fresh-n9-n2-full__NPAoN9d\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_3_remove-try-1\evo-fresh-n9-n2-remove__wSjd9CW\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\attempt-integrity-attestations\theme_d10_w4_ml_ai_mlops_migration_upgrade-pair-3.json
theme_d10_w4_ml_ai_mlops_migration_upgrade,2,theme_d10_w4_ml_ai_mlops_migration_upgrade:target-round-6,4,FULL_FIRST,FULL > REMOVE,FULL > REMOVE,fresh-n9-phase3-2-pair_4_full-try-1,fresh-n9-phase3-2-pair_4_remove-try-1,50,50,160,0.3125,0.3125,0,false,SCIENTIFIC_FAILURE,SCIENTIFIC_FAILURE,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_4_full-try-1\evo-fresh-n9-n2-full__DyfVAQC\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_4_remove-try-1\evo-fresh-n9-n2-remove__b8P5RWw\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_4_full-try-1\evo-fresh-n9-n2-full__DyfVAQC\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-2-pair_4_remove-try-1\evo-fresh-n9-n2-remove__b8P5RWw\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\attempt-integrity-attestations\theme_d10_w4_ml_ai_mlops_migration_upgrade-pair-4.json
theme_d12_w1_automation_productivity_greenfield_implementation,3,theme_d12_w1_automation_productivity_greenfield_implementation:target-round-7,1,REMOVE_FIRST,REMOVE > FULL,REMOVE > FULL,fresh-n9-phase3-3-pair_1_full-try-1,fresh-n9-phase3-3-pair_1_remove-try-1,43,43,111,0.387387387387,0.387387387387,0,false,SCIENTIFIC_FAILURE,SCIENTIFIC_FAILURE,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-3-pair_1_full-try-1\evo-fresh-n9-n3-full__Khc4ary\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-3-pair_1_remove-try-1\evo-fresh-n9-n3-remove__bGvJ6VV\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-3-pair_1_full-try-1\evo-fresh-n9-n3-full__Khc4ary\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-3-pair_1_remove-try-1\evo-fresh-n9-n3-remove__bGvJ6VV\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\attempt-integrity-attestations\theme_d12_w1_automation_productivity_greenfield_implementation-pair-1.json
theme_d12_w1_automation_productivity_greenfield_implementation,3,theme_d12_w1_automation_productivity_greenfield_implementation:target-round-7,2,REMOVE_FIRST,REMOVE > FULL,REMOVE > FULL,fresh-n9-phase3-3-pair_2_full-try-1,fresh-n9-phase3-3-pair_2_remove-try-1,43,43,111,0.387387387387,0.387387387387,0,false,SCIENTIFIC_FAILURE,SCIENTIFIC_FAILURE,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-3-pair_2_full-try-1\evo-fresh-n9-n3-full__rcjSp7c\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-3-pair_2_remove-try-1\evo-fresh-n9-n3-remove__AzkVQN3\steps\target-round\verifier\test-stdout.txt,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-3-pair_2_full-try-1\evo-fresh-n9-n3-full__rcjSp7c\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\harbor-jobs\evo-fresh-n9-fresh-n9-phase3-3-pair_2_remove-try-1\evo-fresh-n9-n3-remove__AzkVQN3\steps\target-round\agent\trajectory.json,C:\Users\L2503\Desktop\TencentDB-Agent-Memory\Direction_A_Evo_Fresh_Engineering_Holdout_N9_Runtime_v1\attempt-integrity-attestations\theme_d12_w1_automation_productivity_greenfield_implementation-pair-2.json
