coverage_label_percent,method_role,method_id,accepted_count,realized_coverage,accepted_mean_mu_a,value_v,gain_g,overall_mean_theta,rejected_mean_theta,accepted_task_ids
40,proposed,A_FROZEN_SOURCE_RESIDUAL_RIDGE,2,0.4,0.028250773994,0.011300309598,0.006780185759,0.011300309598,0,theme_d11_w2_scientific_numerical_brownfield_modification | theme_d11_w2_scientific_numerical_brownfield_modification__not_1234
40,primaryBaseline,MATCHED_CAPACITY_LEGACY_X0_BASELINE,2,0.4,0.028250773994,0.011300309598,0.006780185759,0.011300309598,0,theme_d11_w2_scientific_numerical_brownfield_modification__not_1234 | theme_d11_w2_scientific_numerical_brownfield_modification
40,strongComparator,TARGET_ONLY_SHARED_ONLY_RIDGE,2,0.4,0.028250773994,0.011300309598,0.006780185759,0.011300309598,0,theme_d11_w2_scientific_numerical_brownfield_modification__not_1234 | theme_d11_w2_scientific_numerical_brownfield_modification
60,proposed,A_FROZEN_SOURCE_RESIDUAL_RIDGE,3,0.6,0.018833849329,0.011300309598,0.004520123839,0.011300309598,0,theme_d11_w2_scientific_numerical_brownfield_modification | theme_d11_w2_scientific_numerical_brownfield_modification__not_1234 | theme_d12_w1_automation_productivity_greenfield_implementation
60,primaryBaseline,MATCHED_CAPACITY_LEGACY_X0_BASELINE,3,0.6,0.018833849329,0.011300309598,0.004520123839,0.011300309598,0,theme_d11_w2_scientific_numerical_brownfield_modification__not_1234 | theme_d11_w2_scientific_numerical_brownfield_modification | theme_d10_w4_ml_ai_mlops_migration_upgrade
60,strongComparator,TARGET_ONLY_SHARED_ONLY_RIDGE,3,0.6,0.018833849329,0.011300309598,0.004520123839,0.011300309598,0,theme_d11_w2_scientific_numerical_brownfield_modification__not_1234 | theme_d11_w2_scientific_numerical_brownfield_modification | theme_d10_w4_ml_ai_mlops_migration_upgrade
70,proposed,A_FROZEN_SOURCE_RESIDUAL_RIDGE,4,0.8,0.014125386997,0.011300309598,0.00226006192,0.011300309598,0,theme_d11_w2_scientific_numerical_brownfield_modification | theme_d11_w2_scientific_numerical_brownfield_modification__not_1234 | theme_d12_w1_automation_productivity_greenfield_implementation | theme_d10_w4_ml_ai_mlops_migration_upgrade
70,primaryBaseline,MATCHED_CAPACITY_LEGACY_X0_BASELINE,4,0.8,0.014125386997,0.011300309598,0.00226006192,0.011300309598,0,theme_d11_w2_scientific_numerical_brownfield_modification__not_1234 | theme_d11_w2_scientific_numerical_brownfield_modification | theme_d10_w4_ml_ai_mlops_migration_upgrade | theme_d5_w5_data_engineering_integration_e2e_wiring
70,strongComparator,TARGET_ONLY_SHARED_ONLY_RIDGE,4,0.8,0.014125386997,0.011300309598,0.00226006192,0.011300309598,0,theme_d11_w2_scientific_numerical_brownfield_modification__not_1234 | theme_d11_w2_scientific_numerical_brownfield_modification | theme_d10_w4_ml_ai_mlops_migration_upgrade | theme_d5_w5_data_engineering_integration_e2e_wiring
80,proposed,A_FROZEN_SOURCE_RESIDUAL_RIDGE,4,0.8,0.014125386997,0.011300309598,0.00226006192,0.011300309598,0,theme_d11_w2_scientific_numerical_brownfield_modification | theme_d11_w2_scientific_numerical_brownfield_modification__not_1234 | theme_d12_w1_automation_productivity_greenfield_implementation | theme_d10_w4_ml_ai_mlops_migration_upgrade
80,primaryBaseline,MATCHED_CAPACITY_LEGACY_X0_BASELINE,4,0.8,0.014125386997,0.011300309598,0.00226006192,0.011300309598,0,theme_d11_w2_scientific_numerical_brownfield_modification__not_1234 | theme_d11_w2_scientific_numerical_brownfield_modification | theme_d10_w4_ml_ai_mlops_migration_upgrade | theme_d5_w5_data_engineering_integration_e2e_wiring
80,strongComparator,TARGET_ONLY_SHARED_ONLY_RIDGE,4,0.8,0.014125386997,0.011300309598,0.00226006192,0.011300309598,0,theme_d11_w2_scientific_numerical_brownfield_modification__not_1234 | theme_d11_w2_scientific_numerical_brownfield_modification | theme_d10_w4_ml_ai_mlops_migration_upgrade | theme_d5_w5_data_engineering_integration_e2e_wiring
