componentId,statisticalClusterId,qaId,thetaHatFixed4,D1,D2,D3,D4,proposedScore,baselineScore,proposedRank,baselineRank,A_proposed_primary,A_baseline_primary,A_proposed_deployment_threshold,A_baseline_deployment_threshold,policy_relation
mc_00113a820d239ecc22b2,mc_00113a820d239ecc22b2,qa_083,1,1,1,1,1,0.6312841288011266,0.2056732202230301,36,64,1,0,1,0,PROPOSED_ONLY
mc_0c05ff3bd796f2ed8d8a,mc_0c05ff3bd796f2ed8d8a,qa_228,1,1,1,1,1,0.8306159633131118,0.560027898303715,3,26,1,1,1,1,BOTH_ACCEPT
mc_0ecc976631c6653a7b98,mc_0ecc976631c6653a7b98,qa_313,1,1,1,1,1,0.7595102135421473,0.5863030453443931,16,20,1,1,1,1,BOTH_ACCEPT
mc_1210af6000962811220c,mc_1210af6000962811220c,qa_287,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.14285714285714288,0.2709885521543183,0.1757809386517451,48,67,1,0,1,0,PROPOSED_ONLY
mc_14b9aadf98456cacf3cc,mc_14b9aadf98456cacf3cc,qa_400,0.25,1,0,0,0,0.1380174958657423,0.6852145080193954,56,4,0,1,0,1,BASELINE_ONLY
mc_17a45d5862e704d8cbfc,mc_17a45d5862e704d8cbfc,qa_382,0,0,0,0,0,0.0709078160175779,0.5195379943768269,64,33,0,1,0,1,BASELINE_ONLY
mc_182bb3b52069d0dbe2ea,mc_182bb3b52069d0dbe2ea,qa_147,0.25,0,1,0,0,0.6720730312809351,0.2685507420110658,33,55,1,0,1,0,PROPOSED_ONLY
mc_1933d00edbe3d2e1dcb8,mc_1933d00edbe3d2e1dcb8,qa_049,0,0,0,0,0,0.20553791800248727,0.06558825450915645,54,68,0,0,0,0,BOTH_ABSTAIN
mc_194781b0e6fb27cdc12e,mc_194781b0e6fb27cdc12e,qa_232,0.5,0.5,0.5,0.5,0.5,0.34074900529260377,0.5764596347838,45,23,1,1,1,1,BOTH_ACCEPT
mc_1a7832c4d2f44487e3ad,mc_1a7832c4d2f44487e3ad,qa_295,0.875,1,1,1,0.5,0.7156977778050274,0.5310762394102135,21,32,1,1,1,1,BOTH_ACCEPT
mc_20851cda50fec4624ec1,mc_20851cda50fec4624ec1,qa_034,0.5000000000000001,0.33333333333333337,1,0.33333333333333337,0.33333333333333337,0.7995964090060257,0.22823044039478255,9,62,1,0,1,0,PROPOSED_ONLY
mc_2488e8ff247efe1b0e8b,mc_2488e8ff247efe1b0e8b,qa_050,0.5,0.5,0.5,0.5,0.5,0.4171889454174673,0.45047319569066824,39,42,1,1,1,1,BOTH_ACCEPT
mc_26382a0382e0620a4d80,mc_26382a0382e0620a4d80,qa_004,1,1,1,1,1,0.7856895072617798,0.551915123551278,13,30,1,1,1,1,BOTH_ACCEPT
mc_275295520fec485c786f,mc_275295520fec485c786f,qa_105,0,0,0,0,0,0.5844258173790282,0.5030236626894782,37,36,1,1,1,1,BOTH_ACCEPT
mc_2e68bc92b12fee858ea3,mc_2e68bc92b12fee858ea3,qa_033,0,0,0,0,0,0.05512040762738002,0.5938599193574932,66,19,0,1,0,1,BASELINE_ONLY
mc_2e9df4aac9d7a5d9032f,mc_2e9df4aac9d7a5d9032f,qa_356,0.03910818713450294,-0.2046783625730994,0.125,0.33333333333333337,-0.09722222222222221,0.2469813598506102,0.2489897647110926,52,60,0,0,1,0,BOTH_ABSTAIN
mc_2f4c9a179a5d9cbafb4f,mc_2f4c9a179a5d9cbafb4f,qa_159,1,1,1,1,1,0.7984800452746581,0.7782314103561638,10,1,1,1,1,1,BOTH_ACCEPT
mc_30c75f7b88bd6634a56c,mc_30c75f7b88bd6634a56c,qa_225,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2554085205543625,0.23432011800335295,51,61,0,0,1,0,BOTH_ABSTAIN
mc_32639bcdc1b0ed3b3177,mc_32639bcdc1b0ed3b3177,qa_269,0,0,0,0,0,0.7136763303248483,0.3219068124634703,22,52,1,0,1,0,PROPOSED_ONLY
mc_3881879e87b8bd266589,mc_3881879e87b8bd266589,qa_161,0.25,0,1,0,0,0.703207651890188,0.5591819729293718,27,27,1,1,1,1,BOTH_ACCEPT
mc_3da74588b7a5032be450,mc_3da74588b7a5032be450,qa_039,0,0,0,0,0,0.02271982292579644,0.19246235472936069,69,65,0,0,0,0,BOTH_ABSTAIN
mc_405fae410fe3a3a33032,mc_405fae410fe3a3a33032,qa_233,0.75,1,1,1,0,0.7334098436525642,0.6968905535886316,19,3,1,1,1,1,BOTH_ACCEPT
mc_42890d33d4ccdb644217,mc_42890d33d4ccdb644217,qa_350,0.75,1,0,1,1,0.7420558049457542,0.656774452958298,17,8,1,1,1,1,BOTH_ACCEPT
mc_43e82ead0d32382cffec,mc_43e82ead0d32382cffec,qa_017,0.5,1,1,0,0,0.08200895112802636,0.5044062429099327,63,35,0,1,0,1,BASELINE_ONLY
mc_47fd6f67c99e6d676b80,mc_47fd6f67c99e6d676b80,qa_372,1,1,1,1,1,0.6970995082007028,0.4648920828000842,28,40,1,1,1,1,BOTH_ACCEPT
mc_4db97aed40bd8e73c185,mc_4db97aed40bd8e73c185,qa_177,1,1,1,1,1,0.8380820357055455,0.6813120377490169,2,5,1,1,1,1,BOTH_ACCEPT
mc_4f8b899a3933652dd25d,mc_4f8b899a3933652dd25d,qa_045,0.9166666666666666,0.6666666666666666,1,1,1,0.7811368664805867,0.659190687880904,14,7,1,1,1,1,BOTH_ACCEPT
mc_5219723ef4c1422846d0,mc_5219723ef4c1422846d0,qa_111,1,1,1,1,1,0.7656102677847825,0.6076867453889575,15,17,1,1,1,1,BOTH_ACCEPT
mc_52c04f9a47d7735e3afa,mc_52c04f9a47d7735e3afa,qa_316,0,0,0,0,0,0.40237938780658367,0.3880819749322243,40,47,1,1,1,0,BOTH_ACCEPT
mc_5fc8e3c8bae38d40810f,mc_5fc8e3c8bae38d40810f,qa_305,0,0,0,0,0,0.6918107385774211,0.3327685021958291,30,50,1,0,1,0,PROPOSED_ONLY
mc_681809f4a4570b4d4c57,mc_681809f4a4570b4d4c57,qa_314,0,0,0,0,0,0.030783996668129532,0.3078644133051277,67,53,0,0,0,0,BOTH_ABSTAIN
mc_69d4e811fd50257e2af5,mc_69d4e811fd50257e2af5,qa_088,0.04464285714285712,-0.3333333333333333,0.3333333333333333,-0.2380952380952382,0.4166666666666667,0.19399329488235306,0.4494818704013265,55,43,0,1,0,1,BASELINE_ONLY
mc_6a930c323e27e16dfa58,mc_6a930c323e27e16dfa58,qa_165,0.75,0.5,1,1,0.5,0.828112172112771,0.5802097680510705,4,22,1,1,1,1,BOTH_ACCEPT
mc_6ae45b6aacac075a2f82,mc_6ae45b6aacac075a2f82,qa_040,1,1,1,1,1,0.6907347540107684,0.6133030128136607,31,14,1,1,1,1,BOTH_ACCEPT
mc_7444179b64f62ba1e091,mc_7444179b64f62ba1e091,qa_001,0,0,0,0,0,0.7316895158768584,0.35615006910974045,20,49,1,0,1,0,PROPOSED_ONLY
mc_749b6097c7c4bfc6de0c,mc_749b6097c7c4bfc6de0c,qa_381,1,1,1,1,1,0.6838379833870543,0.6291492888731121,32,11,1,1,1,1,BOTH_ACCEPT
mc_7ec68deb84707f52c490,mc_7ec68deb84707f52c490,qa_266,0.5,0.8,0,0.4,0.8,0.30579336863562023,0.33122353046626146,47,51,1,0,1,0,PROPOSED_ONLY
mc_81783ce7236fba3371a1,mc_81783ce7236fba3371a1,qa_240,0,0,0,0,0,0.09133475117253403,0.2575918927874705,61,57,0,0,0,0,BOTH_ABSTAIN
mc_9028ee2ae0ebef045ec0,mc_9028ee2ae0ebef045ec0,qa_249,1,1,1,1,1,0.795101956442924,0.717776526877564,11,2,1,1,1,1,BOTH_ACCEPT
mc_95706843f2b4b8c77c1c,mc_95706843f2b4b8c77c1c,qa_298,-0.16666666666666666,0,0,0,-0.6666666666666666,0.37393227031798587,0.5590610079293288,44,28,1,1,1,1,BOTH_ACCEPT
mc_96bf5bb036527013efc1,mc_96bf5bb036527013efc1,qa_226,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.2293193614317857,0.256741829758086,53,58,0,0,1,0,BOTH_ABSTAIN
